,eye_center0_3d_x,eye_center0_3d_y,eye_center0_3d_z,gaze_normal0_x,gaze_normal0_y,gaze_normal0_z,eye_center1_3d_x,eye_center1_3d_y,eye_center1_3d_z,gaze_normal1_x,gaze_normal1_y,gaze_normal1_z,distance
6909,-24.3053660680545,-8.44715011637297,-75.5982627128595,0.830594912513775,0.533660144251459,-0.159119268926634,-34.8467112097478,16.0944486488349,-21.2534762943864,-0.0288990976066573,-0.266286427684184,0.963460627420092,6.38076007123422
8959,47.884267322545,31.420792775226,14.9543802088579,-0.0361942461944561,-0.23609049970367,0.971056770993378,-239.608721926804,27.7930874709705,-372.521166908292,0.97663628399229,-0.120125451946023,0.17818935036779,6.07476806542162
14658,-24.3053660680545,-8.44715011637297,-75.5982627128595,0.882837208145696,0.468932260441904,0.0264763862783284,-34.8467112097478,16.0944486488349,-21.2534762943864,0.079365996682701,-0.0983853110204356,0.991978512441663,1.78385430941258
15070,-24.3053660680545,-8.44715011637297,-75.5982627128595,0.871563086875796,0.483065032167279,-0.0838210015017706,-34.8467112097478,16.0944486488349,-21.2534762943864,0.0445446432351698,-0.194479227324948,0.979894690718417,1.86229053060808
28101,13.5884196670637,15.5699134189102,-21.9375030087985,-0.589574439854746,-0.277398268136469,0.758585644937241,-73.1996619672744,40.2334485178953,-54.0905550116719,0.72298075611104,-0.657575924384206,-0.211879045597639,5.64101657329276
57047,20,15,-20,-0.0143793808190561,-0.104023797919173,0.994470855718624,-40,15,-20,0.0069193188594157,-0.106912540386764,0.994244352126061,2.27303845774024
12412,13.1297010659722,16.2390557335998,-23.7090913853841,-0.482061468887392,-0.499264041247166,0.719966775158186,-73.3046327347241,39.6145979022813,-56.4242797664962,0.755914447171003,-0.585511639342438,-0.292864249700585,1.86503620938892
39844,44.2512973032256,28.592312066272,11.3587515110902,0.0506271634665305,-0.179204313220146,0.982508373726468,-238.072456253253,27.3776351102005,-373.263331465408,0.987578125044839,-0.106459295338235,0.115567579229674,5.13266315692832
4196,14.6230223204732,16.4839527916666,-23.1275996521907,-0.789080482214583,-0.21809918401242,0.574268873021268,-75.6524865358353,40.9821280818302,-58.1843779825911,0.718050615397199,-0.691058445392435,-0.0827135948892029,5.16427724870061
24209,14.7979368448386,17.2119084449746,-23.9744512978078,-0.260864123761083,-0.514903092975896,0.816593358886917,-40,15,-20,0.683777766956135,-0.285978554208248,0.671315299951849,5.96029630077087
49673,5.10175112092332,5.95064840059763,-13.9989338866976,-0.226332770556745,0.190781159054862,0.955183765734003,-40,15,-20,0.0963450991598273,-0.13512434294111,0.986133375265545,5.81406641402193
70892,24.568831712113,18.5714647799622,-9.50691030965808,-0.407278851721517,0.0174758671729896,0.913136644214301,-55.2704642336116,33.0649569276618,-35.1453215029973,0.498471569667164,0.372725188727515,0.782688972658739,5.35131251427584
55965,-24.3053660680545,-8.44715011637297,-75.5982627128595,0.85913375234617,0.511747618479113,0.0018895926934419,-34.8467112097478,16.0944486488349,-21.2534762943864,0.147498911409853,-0.195324389263624,0.96958364986818,2.24530919795306
