System Timestamp	Message	Message Type	GT_depth	World Gaze Point X	World Gaze Point Y	World Gaze Point Z	World Gaze Origin R X	World Gaze Origin R Z	World Gaze Origin L X	World Gaze Origin L Z	World Gaze Direction R X	World Gaze Direction R Y	World Gaze Direction R Z	World Gaze Direction L X	World Gaze Direction L Y	World Gaze Direction L Z	Estimated Depth
63814492527363	Data collection started	DepthCalibration	
63814492527364	 sample	DepthCalibration	0.48250943520566	-0.2440456	0.2015474	5.668467	0.03063777	-0.026	-0.02893108	-0.026	-0.1007767	0.06025981	0.9930825	0.01506842	0.01027657	0.9998336	5.90444858324177
63814492527381	 sample	DepthCalibration	0.495166091460017	-0.2429848	0.199598	5.646907	0.03063777	-0.026	-0.02893108	-0.026	-0.1007311	0.05984408	0.9931123	0.01506842	0.01027657	0.9998336	5.92051004258676
63814492527399	 sample	DepthCalibration	0.50757346763077	-0.2249596	0.1846382	5.275721	0.03063777	-0.026	-0.02893108	-0.026	-0.0999579	0.05913416	0.9932329	0.01506842	0.01027657	0.9998336	5.92051004258676
63814492527403	 sample	DepthCalibration	0.511418203370946	-0.2067769	0.1695793	4.893935	0.03063777	-0.026	-0.02893108	-0.026	-0.09918453	0.05842412	0.9933524	0.01506842	0.01027657	0.9998336	5.92051004258676
63814492527419	 sample	DepthCalibration	0.521529692205964	-0.2067769	0.1695793	4.893935	0.03063777	-0.026	-0.02893108	-0.026	-0.09918453	0.05842412	0.9933524	0.01506842	0.01027657	0.9998336	5.92051004258676
63814492527433	 sample	DepthCalibration	0.531460467889682	-0.2138786	0.1480506	4.675803	0.03063777	-0.026	-0.02893108	-0.026	-0.09875199	0.05765311	0.9934406	0.00771326	0.005115085	0.9999571	5.8029652680489
63814492527461	 sample	DepthCalibration	0.548628828578131	-0.1928968	0.132379	4.255234	0.03063777	-0.026	-0.02893108	-0.026	-0.09793244	0.05652676	0.9935864	0.00771326	0.005115085	0.9999571	5.8029652680489
63814492527480	 sample	DepthCalibration	0.5603208185739	-0.1992857	0.1343915	4.384279	0.03063777	-0.026	-0.02893108	-0.026	-0.0981817	0.05563365	0.9936122	0.00771326	0.005115085	0.9999571	5.8029652680489
63814492527484	 sample	DepthCalibration	0.563981383770579	-0.2150501	0.1214811	4.360105	0.03063777	-0.026	-0.02893108	-0.026	-0.09813578	0.05521747	0.9936399	0	0	1	5.55178538072947
63814492527500	 sample	DepthCalibration	0.57338111142847	-0.213782	0.1199134	4.336444	0.03063777	-0.026	-0.02893108	-0.026	-0.09808986	0.05480125	0.9936675	0	0	1	5.55178538072947
63814492527514	 sample	DepthCalibration	0.581866810758432	-0.2325787	0.1292264	4.685575	0.03063777	-0.026	-0.02893108	-0.026	-0.09877197	0.05467948	0.9936067	0	0	1	5.55178538072947
63814492527541	 sample	DepthCalibration	0.59762959639013	-0.2512555	0.1382999	5.027497	0.03063777	-0.026	-0.02893108	-0.026	-0.09945399	0.05455768	0.9935454	0	0	1	5.55178538072947
